user_id,user_journey
266371,Other-Log in-Other-Log in-Log in-Other-Log in-Log in-Log in-Log in-Log in-Log in-Pricing-Log in-Homepage-Log in-Homepage-Courses-Sign up-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Homepage-Log in-Pricing-Pricing-Checkout-Courses-Career tracks-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Coupon
267025,Homepage-Log in-Log in-Homepage-Log in-Log in-Coupon
267334,Homepage-Courses-Course certificate-Courses-Courses-Homepage-Courses-Log in-Courses-Sign up-Checkout
267719,Career tracks-Sign up-Log in-Checkout-Log in-Log in-Log in-Log in-Log in-Checkout
267955,Other-Homepage-Log in-Courses-Courses-Log in-Other-Other-Other-Other-Log in-Log in-Checkout-Log in-Log in-Log in-Homepage-Upcoming courses-Pricing-Checkout-Homepage-Pricing-Checkout-Resources center-Courses-Resources center-Other-Log in-Checkout-Coupon-Resources center-Coupon-Sign up-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
269209,Log in-Resources center-Log in-Resources center-Log in-Coupon
269345,Other-Other-Log in-Log in-Homepage-Log in-Checkout
270317,Homepage-Sign up-Checkout
271000,Homepage-Log in-Coupon
271778,Coupon
272443,Log in-Log in-Log in-Other-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Resources center-Log in-Log in-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Checkout-Log in-Log in-Log in-Log in-Log in-Log in-Checkout-Log in-Checkout
273256,Log in-Pricing-Log in-Homepage-Sign up-Sign up-Log in-Log in-Homepage-Log in-Log in-Career tracks-Pricing-Resources center-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Checkout-Checkout
274222,Homepage-Courses-Coupon-Coupon-Homepage-Log in-Checkout-Checkout
274586,Coupon-Pricing-Sign up-Log in-Log in-Homepage-Sign up-Coupon-Coupon
275657,Other-Homepage-Pricing-Checkout-Coupon
277395,Homepage-Log in-Homepage-Pricing-Courses-Log in-Courses-Course certificate-Homepage-Pricing-Homepage-Courses-Upcoming courses-Courses-Courses-Sign up-Log in-Homepage-Pricing-Pricing-Courses-Upcoming courses-Courses-Homepage-Courses-Upcoming courses-Resources center-Upcoming courses-Success stories-Career track certificate-Resources center-About us-Other-Homepage-Log in-Checkout
278099,Homepage-Career tracks-Career tracks-Sign up-Coupon-Checkout
278257,Log in-Other-Log in-Log in-Log in-Coupon
279567,Pricing-Career track certificate-Pricing-Resources center-Homepage-Courses-Career tracks-Career track certificate-Course certificate-Other-Courses-Sign up-Log in-Coupon-Coupon
